Farm_ID,Cycle_ID,DOC,PL__SIZE,Variant,Pond_Type,POND_SIZE_Ha,Stocking_Density,Temp,Temp_PM,pH,PH_PM,DO,Alkalinity,Ammonia,Nitrite,Nitrate,Salinity,FTF1,FTF2,FTF3,FTF4,Daily__feed,Cum_Feed,Avg_Weight,FCR
F001,C001,1,1.2,SyAqua,NP,0.809,400000,23,32,8.5,9,5.15,160,0,0,80,17,0,0,0,2,2,2,0.36,1.32
F001,C001,2,1.2,SyAqua,NP,0.809,400000,25,32,8.5,9,5.15,160,0,0,80,17,2.8,2.4,0,2.8,8,10,,1.32
F001,C001,3,1.2,SyAqua,NP,0.809,400000,25,33,8.5,9,5.15,160,0,0,80,17,3.2,2.7,0,3.3,9.2,19.2,,1.32
F001,C001,4,1.2,SyAqua,NP,0.809,400000,23,24,8.5,9,5.15,160,0,0,80,16,3.6,3.1,0,3.7,10.4,29.6,,1.32
F001,C001,5,1.2,SyAqua,NP,0.809,400000,23,25,8.5,9,5.15,160,0,0,80,16,4.1,3.5,0,4,11.6,41.2,,1.32
F001,C001,6,1.2,SyAqua,NP,0.809,400000,25,26,8.5,9,5.15,160,0,0,80,15,4.5,4.5,0,3.8,12.8,54,,1.32
F001,C001,7,1.2,SyAqua,NP,0.809,400000,22,25,8.5,9,5.15,160,0,0,80,15,4.9,4.2,0,4.9,14,68,,1.32
F001,C001,8,1.2,SyAqua,NP,0.809,400000,23,24,8.5,9,5.15,160,0,0,80,15,5.4,4.5,0,5.3,15.2,83.2,,1.32
F001,C001,9,1.2,SyAqua,NP,0.809,400000,23,25,8.5,9,5.15,160,0,0,80,16,4.4,3.8,3.8,4.4,16.4,99.6,,1.32
F001,C001,10,1.2,SyAqua,NP,0.809,400000,22,24,8.5,9,5.15,160,0,0,80,16,4.6,4.2,4.2,4.6,17.6,117.2,,1.32
F001,C001,11,1.2,SyAqua,NP,0.809,400000,23,25,8.5,9,5.15,160,0,0,80,16,5,4.4,4.4,5,18.8,136,,1.32
F001,C001,12,1.2,SyAqua,NP,0.809,400000,24,25,8.5,9,5.15,160,0,0,80,16,5.3,4.9,4.9,5.3,20.4,156.4,,1.32
F001,C001,13,1.2,SyAqua,NP,0.809,400000,23,25,8.5,9,5.15,160,0,0,80,17,5.6,5.4,5.6,5.4,22,178.4,,1.32
F001,C001,14,1.2,SyAqua,NP,0.809,400000,24,26,8.5,9,5.15,160,0,0,80,17,6,5.8,5.8,6,23.6,202,,1.32
F001,C001,15,1.2,SyAqua,NP,0.809,400000,24,25,8.5,9,5.15,160,0,0,80,17,6.4,6.2,6.2,6.4,25.2,227.2,,1.32
F001,C001,16,1.2,SyAqua,NP,0.809,400000,22,23,8.5,9,5.15,160,0,0,80,17,6.6,6.8,6.6,6.8,26.8,254,,1.32
F001,C001,17,1.2,SyAqua,NP,0.809,400000,23,24,8.5,9,5.15,160,0,0,80,17,6.4,7.8,7,7.2,28.4,282.4,,1.32
F001,C001,18,1.2,SyAqua,NP,0.809,400000,24,25,8.5,9,5.15,160,0,0,80,17,7.6,7.4,7.6,7.4,30,312.4,,1.32
F001,C001,19,1.2,SyAqua,NP,0.809,400000,23,24,8.5,9,5.15,160,0,0,80,17,8.1,7.9,8.1,7.9,32,344.4,,1.32
F001,C001,20,1.2,SyAqua,NP,0.809,400000,23,24,8.5,9,5.15,160,0,0,80,17,8.6,8.4,8.6,8.4,34,378.4,,1.32
F001,C001,21,1.2,SyAqua,NP,0.809,400000,24,25,8.5,9,5.15,160,0,0,80,17,9.2,8.8,9.2,8.8,36,414.4,,1.32
F001,C001,22,1.2,SyAqua,NP,0.809,400000,23,25,8.5,9,5.15,160,0,0,80,17,9.6,9.4,9.6,9.4,38,452.4,,1.32
